calendarId,eventType,title,url,course,body,bodyText,Cost,Amount (if not free),registerlink,recurrenceRule,startDate,endDate,startTime,endTime,start,end,category,location,attendanceType,locationType,backgroundColor,color,borderColor
Intersect,workshops,,https://intersect.org.au/training/course/EXCEL201,Beyond Basics: Conditionals and Visualisation in Excel,,Register here,free to Intersect (UniSA & UofA staff & students)  members,,https://www.eventbrite.com.au/e/beyond-basics-conditionals-and-visualisation-in-excel-at-uoa-online-registration-943303755927,NA,2024-10-23,2024-10-23,9:30,12:30,,,time,UOA Online,online,local,#fc6ca1,white,#fc6ca1
Intersect,workshops,,https://intersect.org.au/training/course/PYTHON205,Introduction to Machine Learning using Python: Introduction & Linear Regression,,Register here,free to Intersect (UniSA & UofA staff & students)  members,,https://www.eventbrite.com.au/e/introduction-to-machine-learning-using-python-introduction-linear-regression-at-unisa-online-registration-885302001117,NA,2024-10-23,2024-10-24,13:00,16:00,,,time,UniSA (online),online,local,#fc6ca1,white,#fc6ca1
Intersect,workshops,,https://intersect.org.au/training/course/R210,Exploring Chi-Square and correlation in R,,Register here,free to Intersect (UniSA & UofA staff & students)  members,,https://www.eventbrite.com.au/e/exploring-chi-square-and-correlation-in-r-at-uoa-online-registration-943306363727,NA,2024-10-25,2024-10-25,9:30,12:30,,,time,UOA Online,online,local,#fc6ca1,white,#fc6ca1
Intersect,workshops,,https://intersect.org.au/training/course/R211,Traversing t tests in R,,Register here,free to Intersect (UniSA & UofA staff & students)  members,,https://www.eventbrite.com.au/e/traversing-t-tests-in-r-at-uoa-online-registration-943310596387,NA,2024-10-29,2024-10-29,13:30,16:30,,,time,UOA Online,online,local,#fc6ca1,white,#fc6ca1
Intersect,workshops,,https://intersect.org.au/training/course/PYTHON206,Introduction to Machine Learning using Python: Classification,,Time TBD. Contact your local DRA for more information.  ,free to Intersect (UniSA & UofA staff & students)  members,,https://intersect.org.au/meet-our-digital-research-analysts/,NA,2024-10-30,2024-10-30,,,,,allday,UniSA (online),online,local,#fc6ca1,white,#fc6ca1
Intersect,workshops,,https://intersect.org.au/training/course/R212,Exploring ANOVAs in R,,Time TBD. Contact your local DRA for more information.  ,free to Intersect (UniSA & UofA staff & students)  members,,https://intersect.org.au/meet-our-digital-research-analysts/,NA,2024-10-31,2024-10-31,,,,,allday,UOA Online,online,local,#fc6ca1,white,#fc6ca1
Intersect,workshops,,https://intersect.org.au/training/course/PYTHON207,Introduction to Machine Learning using Python: SVM & Unsupervised Learning,,Time TBD. Contact your local DRA for more information.  ,free to Intersect (UniSA & UofA staff & students)  members,,https://intersect.org.au/meet-our-digital-research-analysts/,NA,2024-11-07,2024-11-07,,,,,allday,UniSA (online),online,local,#fc6ca1,white,#fc6ca1
Intersect,workshops,,https://intersect.org.au/training/course/PYTHON203,Data Manipulation and Visualisation in Python,,Time TBD. Contact your local DRA for more information.  ,free to Intersect (UniSA & UofA staff & students)  members,,https://intersect.org.au/meet-our-digital-research-analysts/,NA,2024-11-07,2024-11-07,,,,,allday,UOA Online,online,local,#fc6ca1,white,#fc6ca1
Intersect,workshops,,https://intersect.org.au/training/course/R205,Introduction to Machine Learning using R: Introduction & Linear Regression,,Time TBD. Contact your local DRA for more information.  ,free to Intersect (UniSA & UofA staff & students)  members,,https://intersect.org.au/meet-our-digital-research-analysts/,NA,2024-11-12,2024-11-12,,,,,allday,UOA Online,online,local,#fc6ca1,white,#fc6ca1
Intersect,workshops,,https://intersect.org.au/training/course/R206,Introduction to Machine Learning using R: Classification,,Time TBD. Contact your local DRA for more information.  ,free to Intersect (UniSA & UofA staff & students)  members,,https://intersect.org.au/meet-our-digital-research-analysts/,NA,2024-11-21,2024-11-21,,,,,allday,UOA Online,online,local,#fc6ca1,white,#fc6ca1
